customer_id,rooftop,brand,opportunity_type,best_channel,priority_score,predicted_book_rate,estimated_gross,owner,recommended_next_step
CUST0453,Ford,Commercial,Recall due,Phone + Email,86.3,0.44,472,Service,Send safety recall booking sequence
CUST0056,Ford,Commercial,State inspection due,Phone + Email,86.1,0.335,427,Service,Trigger inspection reminder with online scheduler
CUST0453,Ford,Commercial,Commercial fleet service,Phone + Email,86.1,0.33,780,Commercial,Assign fleet service cadence outreach
CUST0362,Chrysler Dodge Jeep Ram,Chrysler,Declined work recovery,Email + SMS,85.5,0.306,512,Service,Send deferred maintenance estimate recap
CUST0100,Chrysler Dodge Jeep Ram,Chrysler,Declined work recovery,Email + SMS,85.2,0.314,649,Service,Send deferred maintenance estimate recap
CUST0014,Chrysler Dodge Jeep Ram,Ram,Recall due,Email + SMS,85.0,0.412,446,Service,Send safety recall booking sequence
CUST0399,Ford,Commercial,Declined work recovery,Email + SMS,84.9,0.308,580,Service,Send deferred maintenance estimate recap
CUST0263,Ford,Commercial,Service lapse 12+ months,Phone follow-up,84.7,0.236,408,Service,Run win-back offer with advisor call list
CUST0115,Chrysler Dodge Jeep Ram,Commercial,Recall due,Email + SMS,84.5,0.434,551,Service,Send safety recall booking sequence
CUST0324,Chrysler Dodge Jeep Ram,Dodge,Recall due,Phone follow-up,84.4,0.377,525,Service,Send safety recall booking sequence
CUST0101,Chrysler Dodge Jeep Ram,Ram,Recall due,Phone follow-up,84.3,0.418,393,Service,Send safety recall booking sequence
CUST0417,Ford,Ford,Hunter alignment finding,Advisor video + SMS,83.7,0.419,243,Service,Send alignment finding video and tire offer
CUST0468,Ford,Ford,State inspection due,Email + SMS,83.6,0.363,427,Service,Trigger inspection reminder with online scheduler
CUST0005,Chrysler Dodge Jeep Ram,Dodge,Recall due,Email + SMS,83.5,0.446,525,Service,Send safety recall booking sequence
CUST0384,Chrysler Dodge Jeep Ram,Jeep,Recall due,Phone + Email,83.2,0.428,525,Service,Send safety recall booking sequence
CUST0100,Chrysler Dodge Jeep Ram,Chrysler,State inspection due,Email + SMS,83.1,0.334,451,Service,Trigger inspection reminder with online scheduler
CUST0014,Chrysler Dodge Jeep Ram,Ram,Declined work recovery,Email + SMS,83.0,0.322,580,Service,Send deferred maintenance estimate recap
CUST0330,Chrysler Dodge Jeep Ram,Jeep,Recall due,Phone + Email,83.0,0.417,367,Service,Send safety recall booking sequence
CUST0394,Ford,Ford,Recall due,Email + SMS,82.8,0.43,525,Service,Send safety recall booking sequence
CUST0426,Chrysler Dodge Jeep Ram,Jeep,Recall due,Email + SMS,82.8,0.437,577,Service,Send safety recall booking sequence
CUST0404,Ford,Ford,Hunter alignment finding,Advisor video + SMS,82.6,0.338,227,Service,Send alignment finding video and tire offer
CUST0453,Ford,Commercial,State inspection due,Phone + Email,82.5,0.37,427,Service,Trigger inspection reminder with online scheduler
CUST0391,Ford,Ford,Recall due,Email + SMS,82.4,0.375,341,Service,Send safety recall booking sequence
CUST0068,Ford,Commercial,Recall due,Email + SMS,82.2,0.381,367,Service,Send safety recall booking sequence
CUST0316,Ford,Commercial,Service lapse 12+ months,Email + SMS,82.1,0.259,449,Service,Run win-back offer with advisor call list
CUST0056,Ford,Commercial,Service lapse 12+ months,Phone + Email,82.0,0.265,367,Service,Run win-back offer with advisor call list
CUST0469,Chrysler Dodge Jeep Ram,Ram,Recall due,Email + SMS,81.8,0.387,393,Service,Send safety recall booking sequence
CUST0215,Ford,Ford,Recall due,Phone + Email,81.7,0.369,446,Service,Send safety recall booking sequence
CUST0419,Ford,Commercial,Recall due,Email + SMS,81.7,0.405,472,Service,Send safety recall booking sequence
CUST0380,Ford,Ford,Declined work recovery,Email + SMS,81.6,0.292,683,Service,Send deferred maintenance estimate recap
CUST0419,Ford,Commercial,Commercial fleet service,Email + SMS,81.5,0.295,780,Commercial,Assign fleet service cadence outreach
CUST0035,Chrysler Dodge Jeep Ram,Chrysler,Commercial fleet service,Phone + Email,81.3,0.278,650,Commercial,Assign fleet service cadence outreach
CUST0014,Chrysler Dodge Jeep Ram,Ram,State inspection due,Email + SMS,81.2,0.342,403,Service,Trigger inspection reminder with online scheduler
CUST0266,Ford,Ford,Declined work recovery,Email + SMS,81.2,0.334,546,Service,Send deferred maintenance estimate recap
CUST0245,Ford,Ford,Recall due,Email + SMS,81.0,0.383,420,Service,Send safety recall booking sequence
CUST0086,Chrysler Dodge Jeep Ram,Jeep,Recall due,Email + SMS,80.9,0.408,420,Service,Send safety recall booking sequence
CUST0077,Chrysler Dodge Jeep Ram,Dodge,Commercial fleet service,Phone + Email,80.8,0.334,1040,Commercial,Assign fleet service cadence outreach
CUST0114,Ford,Commercial,Commercial fleet service,Email + SMS,80.7,0.293,910,Commercial,Assign fleet service cadence outreach
CUST0101,Chrysler Dodge Jeep Ram,Ram,State inspection due,Phone follow-up,80.6,0.348,356,Service,Trigger inspection reminder with online scheduler
CUST0330,Chrysler Dodge Jeep Ram,Jeep,Declined work recovery,Phone + Email,80.6,0.328,478,Service,Send deferred maintenance estimate recap
CUST0324,Chrysler Dodge Jeep Ram,Dodge,State inspection due,Phone follow-up,80.5,0.307,474,Service,Trigger inspection reminder with online scheduler
CUST0101,Chrysler Dodge Jeep Ram,Ram,Hunter alignment finding,Advisor video + SMS,80.2,0.378,243,Service,Send alignment finding video and tire offer
CUST0315,Chrysler Dodge Jeep Ram,Dodge,Declined work recovery,Phone + Email,80.2,0.337,683,Service,Send deferred maintenance estimate recap
CUST0035,Chrysler Dodge Jeep Ram,Chrysler,Declined work recovery,Phone + Email,80.1,0.298,512,Service,Send deferred maintenance estimate recap
CUST0362,Chrysler Dodge Jeep Ram,Chrysler,Service lapse 12+ months,Email + SMS,80.1,0.256,306,Service,Run win-back offer with advisor call list
CUST0117,Ford,Commercial,Recall due,Email + SMS,80.0,0.406,472,Service,Send safety recall booking sequence
CUST0215,Ford,Ford,Declined work recovery,Phone + Email,79.7,0.279,580,Service,Send deferred maintenance estimate recap
CUST0469,Chrysler Dodge Jeep Ram,Ram,Declined work recovery,Email + SMS,79.6,0.297,512,Service,Send deferred maintenance estimate recap
CUST0189,Chrysler Dodge Jeep Ram,Chrysler,State inspection due,Email + SMS,79.3,0.323,474,Service,Trigger inspection reminder with online scheduler
CUST0330,Chrysler Dodge Jeep Ram,Jeep,State inspection due,Phone + Email,79.3,0.348,332,Service,Trigger inspection reminder with online scheduler
CUST0380,Ford,Ford,State inspection due,Email + SMS,79.3,0.312,474,Service,Trigger inspection reminder with online scheduler
CUST0365,Ford,Commercial,Recall due,Email + SMS,79.1,0.424,472,Service,Send safety recall booking sequence
CUST0399,Ford,Commercial,Service lapse 12+ months,Email + SMS,79.1,0.258,347,Service,Run win-back offer with advisor call list
CUST0103,Chrysler Dodge Jeep Ram,Ram,Declined work recovery,Email + SMS,79.0,0.322,717,Service,Send deferred maintenance estimate recap
CUST0404,Ford,Ford,Service lapse 12+ months,Email + SMS,79.0,0.238,285,Service,Run win-back offer with advisor call list
CUST0394,Ford,Ford,State inspection due,Email + SMS,78.9,0.36,474,Service,Trigger inspection reminder with online scheduler
CUST0426,Chrysler Dodge Jeep Ram,Jeep,State inspection due,Email + SMS,78.9,0.367,522,Service,Trigger inspection reminder with online scheduler
CUST0086,Chrysler Dodge Jeep Ram,Jeep,Declined work recovery,Email + SMS,78.8,0.318,546,Service,Send deferred maintenance estimate recap
CUST0391,Ford,Ford,State inspection due,Email + SMS,78.8,0.305,308,Service,Trigger inspection reminder with online scheduler
CUST0396,Ford,Ford,State inspection due,Phone + Email,78.7,0.32,451,Service,Trigger inspection reminder with online scheduler
CUST0035,Chrysler Dodge Jeep Ram,Chrysler,State inspection due,Phone + Email,78.6,0.318,356,Service,Trigger inspection reminder with online scheduler
CUST0068,Ford,Commercial,State inspection due,Email + SMS,78.5,0.311,332,Service,Trigger inspection reminder with online scheduler
CUST0189,Chrysler Dodge Jeep Ram,Chrysler,Hunter alignment finding,Advisor video + SMS,78.3,0.353,324,Service,Send alignment finding video and tire offer
CUST0131,Ford,Commercial,Declined work recovery,Email + SMS,78.2,0.315,444,Service,Send deferred maintenance estimate recap
CUST0469,Chrysler Dodge Jeep Ram,Ram,State inspection due,Email + SMS,78.1,0.317,356,Service,Trigger inspection reminder with online scheduler
CUST0315,Chrysler Dodge Jeep Ram,Dodge,State inspection due,Phone + Email,77.9,0.357,474,Service,Trigger inspection reminder with online scheduler
CUST0272,Chrysler Dodge Jeep Ram,Dodge,Recall due,Phone follow-up,77.8,0.411,525,Service,Send safety recall booking sequence
CUST0298,Chrysler Dodge Jeep Ram,Jeep,Declined work recovery,Email + SMS,77.8,0.338,717,Service,Send deferred maintenance estimate recap
CUST0396,Ford,Ford,Hunter alignment finding,Advisor video + SMS,77.8,0.35,308,Service,Send alignment finding video and tire offer
CUST0472,Ford,Commercial,Recall due,Email + SMS,77.5,0.393,446,Service,Send safety recall booking sequence
CUST0214,Ford,Commercial,State inspection due,Email + SMS,77.3,0.317,498,Service,Trigger inspection reminder with online scheduler
CUST0245,Ford,Ford,State inspection due,Email + SMS,77.2,0.313,380,Service,Trigger inspection reminder with online scheduler
CUST0388,Ford,Ford,Declined work recovery,Email + SMS,77.2,0.288,512,Service,Send deferred maintenance estimate recap
CUST0086,Chrysler Dodge Jeep Ram,Jeep,State inspection due,Email + SMS,77.1,0.338,380,Service,Trigger inspection reminder with online scheduler
CUST0043,Ford,Commercial,Hunter alignment finding,Advisor video + SMS,76.4,0.347,260,Service,Send alignment finding video and tire offer
CUST0363,Ford,Ford,Recall due,Email + SMS,76.4,0.425,446,Service,Send safety recall booking sequence
CUST0255,Ford,Commercial,Recall due,Email + SMS,76.3,0.436,472,Service,Send safety recall booking sequence
CUST0114,Ford,Commercial,State inspection due,Email + SMS,76.2,0.333,498,Service,Trigger inspection reminder with online scheduler
CUST0214,Ford,Commercial,Hunter alignment finding,Advisor video + SMS,76.2,0.347,341,Service,Send alignment finding video and tire offer
CUST0117,Ford,Commercial,State inspection due,Email + SMS,76.1,0.336,427,Service,Trigger inspection reminder with online scheduler
CUST0403,Ford,Commercial,Recall due,Email + SMS,76.0,0.396,393,Service,Send safety recall booking sequence
CUST0466,Chrysler Dodge Jeep Ram,Chrysler,Hunter alignment finding,Advisor video + SMS,75.8,0.378,292,Service,Send alignment finding video and tire offer
CUST0388,Ford,Ford,State inspection due,Email + SMS,75.7,0.308,356,Service,Trigger inspection reminder with online scheduler
CUST0266,Ford,Ford,Service lapse 12+ months,Email + SMS,75.5,0.284,326,Service,Run win-back offer with advisor call list
CUST0077,Chrysler Dodge Jeep Ram,Dodge,State inspection due,Phone + Email,75.4,0.374,570,Service,Trigger inspection reminder with online scheduler
CUST0103,Chrysler Dodge Jeep Ram,Ram,Hunter alignment finding,Advisor video + SMS,75.4,0.372,341,Service,Send alignment finding video and tire offer
CUST0117,Ford,Commercial,Hunter alignment finding,Advisor video + SMS,75.4,0.366,292,Service,Send alignment finding video and tire offer
CUST0377,Chrysler Dodge Jeep Ram,Dodge,State inspection due,Phone + Email,75.4,0.372,308,Service,Trigger inspection reminder with online scheduler
CUST0298,Chrysler Dodge Jeep Ram,Jeep,State inspection due,Email + SMS,75.3,0.358,498,Service,Trigger inspection reminder with online scheduler
CUST0096,Ford,Commercial,State inspection due,Phone + Email,75.2,0.371,522,Service,Trigger inspection reminder with online scheduler
CUST0237,Chrysler Dodge Jeep Ram,Dodge,Recall due,Email + SMS,75.2,0.399,420,Service,Send safety recall booking sequence
CUST0234,Ford,Commercial,Recall due,Email + SMS,75.1,0.426,577,Service,Send safety recall booking sequence
CUST0380,Ford,Ford,Service lapse 12+ months,Email + SMS,75.1,0.242,408,Service,Run win-back offer with advisor call list
CUST0391,Ford,Ford,Service lapse 12+ months,Email + SMS,75.0,0.235,265,Service,Run win-back offer with advisor call list
CUST0403,Ford,Commercial,Commercial fleet service,Email + SMS,75.0,0.286,650,Commercial,Assign fleet service cadence outreach
CUST0306,Chrysler Dodge Jeep Ram,Ram,Recall due,Phone follow-up,74.9,0.385,525,Service,Send safety recall booking sequence
CUST0230,Chrysler Dodge Jeep Ram,Dodge,Recall due,Email + SMS,74.7,0.398,472,Service,Send safety recall booking sequence
CUST0035,Chrysler Dodge Jeep Ram,Chrysler,Service lapse 12+ months,Phone + Email,74.6,0.248,306,Service,Run win-back offer with advisor call list
CUST0076,Chrysler Dodge Jeep Ram,Dodge,State inspection due,Phone + Email,74.5,0.373,570,Service,Trigger inspection reminder with online scheduler
CUST0237,Chrysler Dodge Jeep Ram,Dodge,Commercial fleet service,Email + SMS,74.4,0.289,693,Commercial,Assign fleet service cadence outreach
CUST0383,Chrysler Dodge Jeep Ram,Chrysler,Declined work recovery,Email + SMS,74.4,0.341,546,Service,Send deferred maintenance estimate recap
CUST0133,Chrysler Dodge Jeep Ram,Chrysler,Commercial fleet service,Phone follow-up,74.3,0.242,866,Commercial,Assign fleet service cadence outreach
CUST0203,Ford,Commercial,Recall due,Email + SMS,74.3,0.439,367,Service,Send safety recall booking sequence
CUST0096,Ford,Commercial,Hunter alignment finding,Advisor video + SMS,74.0,0.401,357,Service,Send alignment finding video and tire offer
CUST0215,Ford,Ford,Service lapse 12+ months,Phone + Email,73.9,0.229,347,Service,Run win-back offer with advisor call list
CUST0337,Ford,Ford,Declined work recovery,Phone follow-up,73.9,0.27,751,Service,Send deferred maintenance estimate recap
CUST0272,Chrysler Dodge Jeep Ram,Dodge,State inspection due,Phone follow-up,73.8,0.341,474,Service,Trigger inspection reminder with online scheduler
CUST0234,Ford,Commercial,Declined work recovery,Email + SMS,73.7,0.336,751,Service,Send deferred maintenance estimate recap
CUST0315,Chrysler Dodge Jeep Ram,Dodge,Service lapse 12+ months,Phone + Email,73.7,0.287,408,Service,Run win-back offer with advisor call list
CUST0003,Chrysler Dodge Jeep Ram,Dodge,Recall due,Email + SMS,73.5,0.427,472,Service,Send safety recall booking sequence
CUST0479,Chrysler Dodge Jeep Ram,Dodge,Recall due,Email + SMS,73.5,0.427,472,Service,Send safety recall booking sequence
CUST0105,Ford,Commercial,Recall due,Email + SMS,73.4,0.395,472,Service,Send safety recall booking sequence
CUST0332,Chrysler Dodge Jeep Ram,Dodge,Recall due,Email + SMS,73.4,0.449,446,Service,Send safety recall booking sequence
CUST0479,Chrysler Dodge Jeep Ram,Dodge,Commercial fleet service,Email + SMS,73.3,0.317,780,Commercial,Assign fleet service cadence outreach
CUST0131,Ford,Commercial,Service lapse 12+ months,Email + SMS,73.2,0.265,265,Service,Run win-back offer with advisor call list
CUST0238,Chrysler Dodge Jeep Ram,Jeep,Declined work recovery,Phone + Email,73.0,0.358,615,Service,Send deferred maintenance estimate recap
CUST0043,Ford,Commercial,Service lapse 12+ months,Email + SMS,72.9,0.247,326,Service,Run win-back offer with advisor call list
CUST0079,Chrysler Dodge Jeep Ram,Ram,Declined work recovery,Phone + Email,72.9,0.367,615,Service,Send deferred maintenance estimate recap
CUST0444,Chrysler Dodge Jeep Ram,Jeep,Declined work recovery,Email + SMS,72.9,0.354,717,Service,Send deferred maintenance estimate recap
CUST0383,Chrysler Dodge Jeep Ram,Chrysler,State inspection due,Email + SMS,72.8,0.361,380,Service,Trigger inspection reminder with online scheduler
CUST0255,Ford,Commercial,State inspection due,Email + SMS,72.5,0.366,427,Service,Trigger inspection reminder with online scheduler
CUST0475,Ford,Ford,Service lapse 12+ months,Phone + Email,72.5,0.28,449,Service,Run win-back offer with advisor call list
CUST0103,Chrysler Dodge Jeep Ram,Ram,Service lapse 12+ months,Email + SMS,72.3,0.272,428,Service,Run win-back offer with advisor call list
CUST0403,Ford,Commercial,State inspection due,Email + SMS,72.3,0.326,356,Service,Trigger inspection reminder with online scheduler
CUST0462,Chrysler Dodge Jeep Ram,Commercial,Recall due,Email + SMS,72.2,0.427,420,Service,Send safety recall booking sequence
CUST0114,Ford,Commercial,Service lapse 12+ months,Email + SMS,71.9,0.263,428,Service,Run win-back offer with advisor call list
CUST0203,Ford,Commercial,Declined work recovery,Email + SMS,71.9,0.349,478,Service,Send deferred maintenance estimate recap
CUST0291,Ford,Commercial,Recall due,Email + SMS,71.8,0.432,341,Service,Send safety recall booking sequence
CUST0388,Ford,Ford,Service lapse 12+ months,Email + SMS,71.8,0.238,306,Service,Run win-back offer with advisor call list
CUST0458,Chrysler Dodge Jeep Ram,Commercial,Declined work recovery,Email + SMS,71.8,0.294,512,Service,Send deferred maintenance estimate recap
CUST0003,Chrysler Dodge Jeep Ram,Dodge,Declined work recovery,Email + SMS,71.7,0.337,615,Service,Send deferred maintenance estimate recap
CUST0377,Chrysler Dodge Jeep Ram,Dodge,Service lapse 12+ months,Phone + Email,71.6,0.302,265,Service,Run win-back offer with advisor call list
CUST0276,Chrysler Dodge Jeep Ram,Dodge,Recall due,Email + SMS,71.5,0.385,341,Service,Send safety recall booking sequence
CUST0237,Chrysler Dodge Jeep Ram,Dodge,State inspection due,Email + SMS,71.4,0.329,380,Service,Trigger inspection reminder with online scheduler
CUST0282,Chrysler Dodge Jeep Ram,Dodge,Recall due,Email + SMS,71.4,0.384,498,Service,Send safety recall booking sequence
CUST0337,Ford,Ford,State inspection due,Phone follow-up,71.3,0.29,522,Service,Trigger inspection reminder with online scheduler
CUST0352,Chrysler Dodge Jeep Ram,Jeep,Recall due,Phone follow-up,71.2,0.384,472,Service,Send safety recall booking sequence
CUST0079,Chrysler Dodge Jeep Ram,Ram,State inspection due,Phone + Email,70.9,0.387,427,Service,Trigger inspection reminder with online scheduler
CUST0123,Ford,Commercial,State inspection due,Email + SMS,70.9,0.331,522,Service,Trigger inspection reminder with online scheduler
CUST0476,Chrysler Dodge Jeep Ram,Chrysler,Recall due,Phone + Email,70.9,0.455,341,Service,Send safety recall booking sequence
CUST0106,Ford,Ford,State inspection due,Phone + Email,70.8,0.361,380,Service,Trigger inspection reminder with online scheduler
CUST0478,Ford,Commercial,Declined work recovery,Email + SMS,70.8,0.305,615,Service,Send deferred maintenance estimate recap
CUST0195,Ford,Commercial,Recall due,Phone follow-up,70.7,0.428,393,Service,Send safety recall booking sequence
CUST0350,Ford,Ford,Recall due,Phone + Email,70.7,0.434,498,Service,Send safety recall booking sequence
CUST0046,Chrysler Dodge Jeep Ram,Jeep,Declined work recovery,Email + SMS,70.6,0.338,649,Service,Send deferred maintenance estimate recap
CUST0339,Chrysler Dodge Jeep Ram,Commercial,State inspection due,Phone + Email,70.6,0.335,308,Service,Trigger inspection reminder with online scheduler
CUST0369,Chrysler Dodge Jeep Ram,Commercial,Declined work recovery,Email + SMS,70.5,0.344,478,Service,Send deferred maintenance estimate recap
CUST0414,Chrysler Dodge Jeep Ram,Chrysler,Recall due,Phone follow-up,70.2,0.379,420,Service,Send safety recall booking sequence
CUST0474,Ford,Commercial,Recall due,Email + SMS,70.2,0.391,446,Service,Send safety recall booking sequence
CUST0411,Ford,Ford,Recall due,Phone follow-up,70.1,0.406,498,Service,Send safety recall booking sequence
CUST0276,Chrysler Dodge Jeep Ram,Dodge,Commercial fleet service,Email + SMS,70.0,0.275,563,Commercial,Assign fleet service cadence outreach
CUST0326,Ford,Ford,Service lapse 12+ months,Phone follow-up,70.0,0.25,428,Service,Run win-back offer with advisor call list
CUST0047,Ford,Commercial,Recall due,Email + SMS,69.9,0.407,393,Service,Send safety recall booking sequence
CUST0353,Ford,Ford,Declined work recovery,Phone follow-up,69.8,0.318,615,Service,Send deferred maintenance estimate recap
CUST0088,Chrysler Dodge Jeep Ram,Ram,Recall due,Phone + Email,69.7,0.424,341,Service,Send safety recall booking sequence
CUST0267,Ford,Commercial,Recall due,Phone + Email,69.7,0.431,420,Service,Send safety recall booking sequence
CUST0159,Chrysler Dodge Jeep Ram,Commercial,Commercial fleet service,Phone + Email,69.6,0.286,563,Commercial,Assign fleet service cadence outreach
CUST0210,Chrysler Dodge Jeep Ram,Dodge,Recall due,Phone follow-up,69.6,0.413,577,Service,Send safety recall booking sequence
CUST0398,Ford,Ford,Declined work recovery,Phone follow-up,69.6,0.288,580,Service,Send deferred maintenance estimate recap
CUST0166,Chrysler Dodge Jeep Ram,Ram,Declined work recovery,Phone + Email,69.5,0.386,615,Service,Send deferred maintenance estimate recap
CUST0256,Ford,Commercial,Declined work recovery,Phone + Email,69.4,0.353,615,Service,Send deferred maintenance estimate recap
CUST0280,Ford,Ford,Declined work recovery,Email + SMS,69.3,0.313,751,Service,Send deferred maintenance estimate recap
CUST0291,Ford,Commercial,Declined work recovery,Email + SMS,69.3,0.342,444,Service,Send deferred maintenance estimate recap
CUST0435,Ford,Commercial,Hunter alignment finding,Advisor video + SMS,69.3,0.397,341,Service,Send alignment finding video and tire offer
CUST0332,Chrysler Dodge Jeep Ram,Dodge,Hunter alignment finding,Advisor video + SMS,69.0,0.409,276,Service,Send alignment finding video and tire offer
CUST0358,Ford,Commercial,State inspection due,Email + SMS,69.0,0.341,474,Service,Trigger inspection reminder with online scheduler
CUST0297,Chrysler Dodge Jeep Ram,Commercial,State inspection due,Phone + Email,68.6,0.327,451,Service,Trigger inspection reminder with online scheduler
CUST0355,Chrysler Dodge Jeep Ram,Dodge,State inspection due,Email + SMS,68.6,0.347,403,Service,Trigger inspection reminder with online scheduler
CUST0476,Chrysler Dodge Jeep Ram,Chrysler,Declined work recovery,Phone + Email,68.4,0.365,444,Service,Send deferred maintenance estimate recap
CUST0465,Chrysler Dodge Jeep Ram,Chrysler,State inspection due,Phone + Email,68.3,0.372,427,Service,Trigger inspection reminder with online scheduler
CUST0300,Chrysler Dodge Jeep Ram,Chrysler,Recall due,Phone + Email,68.1,0.444,393,Service,Send safety recall booking sequence
CUST0358,Ford,Commercial,Hunter alignment finding,Advisor video + SMS,68.1,0.371,324,Service,Send alignment finding video and tire offer
CUST0450,Chrysler Dodge Jeep Ram,Commercial,Recall due,Phone follow-up,68.1,0.403,341,Service,Send safety recall booking sequence
CUST0462,Chrysler Dodge Jeep Ram,Commercial,Hunter alignment finding,Advisor video + SMS,67.9,0.387,260,Service,Send alignment finding video and tire offer
CUST0353,Ford,Ford,State inspection due,Phone follow-up,67.8,0.338,427,Service,Trigger inspection reminder with online scheduler
CUST0398,Ford,Ford,State inspection due,Phone follow-up,67.8,0.308,403,Service,Trigger inspection reminder with online scheduler
CUST0025,Chrysler Dodge Jeep Ram,Dodge,Hunter alignment finding,Advisor video + SMS,67.7,0.421,373,Service,Send alignment finding video and tire offer
CUST0090,Chrysler Dodge Jeep Ram,Chrysler,Declined work recovery,Email + SMS,67.6,0.279,649,Service,Send deferred maintenance estimate recap
CUST0053,Chrysler Dodge Jeep Ram,Dodge,Recall due,Email + SMS,67.5,0.426,498,Service,Send safety recall booking sequence
CUST0470,Chrysler Dodge Jeep Ram,Jeep,Declined work recovery,Phone follow-up,67.4,0.291,444,Service,Send deferred maintenance estimate recap
CUST0088,Chrysler Dodge Jeep Ram,Ram,Declined work recovery,Phone + Email,67.3,0.334,444,Service,Send deferred maintenance estimate recap
